ID;SIRET;Nom de l'établissement;Adresse de l'établissement;Complément d'adresse;Code postal;Commune;Type d'établissement;Téléphone;Adresse électronique;Spécialité culinaire;Horaires d'ouverture et de fermeture de l'établissement;Accueil des personnes à mobilité réduite;Site web de l'établissement;geo
31;83384648800017;L’Écailler du Château;3 rue Royale;;77300;Fontainebleau;Restaurant;160967321;lecaillerduchateau@gmail.com;Fruits de mer, poissons et viandes grillés;"10h á 15h (repas) 
10h á 18h (terrassse cafe-bar) 
En terrasse accueil des personnes à mobilité réduite";Oui;https://www.lecaillerduchateau.fr/;48.402514, 2.696397
44;84966542700019;Food Stop;2 bis rue Gambetta;;77300;Fontainebleau;Food Truck;782715870;info@foodstop.fr;Pomme de terre au four, wraps, bubble waffle, desserts orientales, smoothies, milk shake ....;10:00 - 22:00;Non;http://www.foodstop.fr/;48.411558, 2.7088
67;88166868500012;O’NAN;109 rue du Président Francois Mitterrand;;91160;Longjumeau;Gastronomique;950510746;abaidmalik@hotmail.fr;Restaurant rapid cuisine indien;12h à 22h;Oui;;48.694586, 2.294049
70;47967116600011;Le Christine;1 rue Christine;;75006;Paris;Gastronomique;140517164;contact@restaurantlechristine.com;Cuisine française modernisé entre la bistronomie et la gastronomie;"Lun-Ven : 12h00-14h30 // 18h30-23h00
Sam-Dim : 18h30-23h00";Oui;https://www.restaurantlechristine.com/;48.854312, 2.340345
83;84371851100028;Mylène & Marie Café Briocherie;142 Rue des Bourguignons;;92600;Asnières sur Seine;Coffee Shop;147981639;contact@myleneetmarie.com;"Salon de thé autour de la brioche, café de spécialité et petite restauration pour le déjeuner.
Brunch le samedi et dimanche";"Dimanche : 9h30-15h.
Fermeture du 1er au 25 Août 2020";Oui;https://www.myleneetmarie.com/;48.917072, 2.278144
50;80807696200014;Restaurant Tafraout;1 rue Pierre Brossolette;;95130;Le Plessis-Bouchard;Gastronomique;134158187;leplessisdesohane@gmail.com;Gastronomie Marocaine;12h à 14h30 et 19h à 22h30;Oui;https://www.tripadvisor.fr/Restaurant_Review-g8322886-d13421929-Reviews-Tafraout-Le_Plessis_Bouchard_Val_d_Oise_Ile_de_France.html;49.001183, 2.235807
9206;80774482600015;Bar restaurant le hashtag;34 Rue Henri Barbusse;;92110;Clichy;Non précisé;141068427;hashtag.clichy@gmail.com;;;Non précisé;https://fr-fr.facebook.com/LeHashtag.Clichy/;48.899422, 2.305073
9211;83404746600018;Cafe de la gare;3 Rue de Neuilly;;92110;Clichy;Non précisé;950640263;cafedelagare.clichy@gmail.com;;;Non précisé;https://cafe-de-la-gare-clichy.eatbu.com/?lang=fr;48.899044, 2.29631
9216;43515905800039;Chez pepone;45 Boulevard du Général Leclerc;;92110;Clichy;Non précisé;;lorinaldi75@gmail.com;;;Non précisé;https://pepone-traiteur.eatbu.com/?lang=fr;48.901848, 2.314407
9223;80046558500019;First cafe;102 bis Rue Martre;;92110;Clichy;Non précisé;147304090;3rucontact@gmail.com;;;Non précisé;https://fr-fr.facebook.com/FIRSTCAFE92/;48.904412, 2.305853
9285;87909999200023;Flavor;30 Rue Chance Milly;;92110;Clichy;Non précisé;147371077;benjaminseror@hotmail.com;;;Non précisé;https://www.facebook.com/flavoresto/;48.897369, 2.303419
9286;88461344900013;Yellow bird;32 Rue Castérès;;92110;Clichy;Non précisé;617689467;contact@yellowbird.fr;;;Non précisé;https://www.facebook.com/pages/category/Coffee-Shop/Yellowbird-105346961092405/;48.9010965, 2.301223
9004;88156052800013;L’amandier;46 rue de Châtillon;;92140;Clamart;Non précisé;146449022;;;;Non précisé;https://www.thefork.fr/restaurant/l-amandier-r287977;48.801715, 2.272221
9024;83897784100017;L'entr'amis;28 rue de Fontenelle;;78160;Marly-le-Roi;Non précisé;139166916;;;;Non précisé;https://lentramis.site-solocal.com/;48.871953, 2.09738
9028;82874214800012;La gourmandise de marly;Place de la Gare;;78160;Marly-le-Roi;Non précisé;682060766;epri@livre.fr;;;Non précisé;https://lagourmandisedemarly.eatbu.com/;48.871046, 2.096034
9111;32117917800025;Chez Thaï;4 rue de l'Eglise;;92200;Neuilly-sur-Seine;Non précisé;185152763;;;;Non précisé;https://www.restaurantchezthai.com/;48.8850496, 2.2632024
9113;79437292000015;Le Marly;54 avenue de Roule;;92200;Neuilly-sur-Seine;Non précisé;147454671;;;;Non précisé;http://lemarly.fr/;48.8827292, 2.2772198
